Field	Type	Null	Key	Default	Extra
id	int	NO	PRI	NULL	auto_increment
customer_id	int	YES	MUL	NULL	
customer_name	varchar(150)	NO		NULL	
customer_mobile	varchar(20)	YES		NULL	
total_amount	decimal(12,2)	NO		NULL	
net_amount	decimal(12,2)	YES		0.00	
sgst_amount	decimal(12,2)	YES		0.00	
cgst_amount	decimal(12,2)	YES		0.00	
advance_paid	decimal(12,2)	YES		0.00	
balance_amount	decimal(12,2)	YES		0.00	
payment_method	enum('Cash','UPI','Both','Cheque','Account Transfer')	YES		Cash	
cash_amount	decimal(12,2)	YES		0.00	
upi_amount	decimal(12,2)	YES		0.00	
branch_id	int	YES		NULL	
reference_number	varchar(100)	YES		NULL	
description	text	YES		NULL	
payment_date	date	NO		NULL	
order_lines	json	YES		NULL	
created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
